RI Zone,District,Club Name,Club Status,Current Member Count,Club ID
Zone 4,3012,Ghaziabad Heritage,Active,53,65725
Zone 4,3012,Ghaziabad Hindon,Active,12,90599
Zone 4,3012,Ghaziabad Imperial,Active,38,89652
Zone 4,3012,Ghaziabad Industrial Town,Active,39,31791
Zone 4,3012,Ghaziabad Lakshay,Active,38,225767
Zone 4,3012,Ghaziabad Lotus,Active,7,223396
Zone 4,3012,Ghaziabad Mavericks,Active,38,89906
Zone 4,3012,Ghaziabad Mid Town,Active,28,73109
Zone 4,3012,Ghaziabad Millenials,Active,4,223035
Zone 4,3012,Ghaziabad Navodaya,Active,7,78594
Zone 4,3012,Ghaziabad New Shatabdi,Active,3,223547
Zone 4,3012,Ghaziabad Nihar,Active,11,225818
Zone 4,3012,Ghaziabad Nikunj,Active,6,88149
Zone 4,3012,Ghaziabad North Central,Active,7,223387
Zone 4,3012,Ghaziabad Paradise,Active,32,223016
Zone 4,3012,Ghaziabad Pratap Vihar,Active,7,223296
Zone 4,3012,Ghaziabad Pride,Active,6,90343
Zone 4,3012,Ghaziabad Rajdhani,Active,6,88792
Zone 4,3012,Ghaziabad Raj Nagar,Active,6,223293
Zone 4,3012,Ghaziabad Regency,Active,9,81399
Zone 4,3012,Ghaziabad Rhythm,Active,6,223217
Zone 4,3012,Ghaziabad Saffron,Active,9,223374
Zone 4,3012,Ghaziabad Shaurya,Active,11,225803
Zone 4,3012,Ghaziabad Smart City,Active,40,225766
Zone 4,3012,Ghaziabad South End,Active,42,50787
Zone 4,3012,Ghaziabad Sunrays,Active,8,223352
Zone 4,3012,Ghaziabad Vasundhra,Active,32,79295
Zone 4,3012,Ghaziabad Vijay Nagar,Active,7,223295
Zone 4,3012,Ghaziabad Vikas,Active,43,87205
Zone 4,3012,Ghaziabad Viraasat,Active,11,223189
Zone 4,3012,Ghaziabad Vision,Active,10,225783
Zone 4,3012,Ghaziabad Vista,Active,6,223216
Zone 4,3012,Hapur,Active,18,15336
Zone 4,3012,Hapur Central,Active,37,23793
Zone 4,3012,Hapur Diamond,Active,7,88171
Zone 4,3012,Hapur Elite,Active,6,223435
Zone 4,3012,Hapur Greater,Active,5,59706
Zone 4,3012,Hapur Main,Active,22,225619
